due_date,problem,file,first_solved,last_implemented,attempts,last_mindsolve,last_result,consecutive_passes,interval_days,overdue_days,failure_stage
2025-12-28,Reverse Linked List,reverse-linked-list.py,2025-12-26,2025-12-26,1,,,0,2,240,
2025-12-28,Reverse Linked List Iterative,reverse-linked-list_iterative.cpp,2025-12-26,2025-12-26,1,,,0,2,240,
2025-12-28,Reverse Linked List Recursive,reverse-linked-list_recursive.cpp,2025-12-26,2025-12-26,1,,,0,2,240,
2025-12-29,Minimum Penalty For A Shop,minimum-penalty-for-a-shop.py,2025-12-27,2025-12-27,1,,,0,2,239,
2025-12-30,Count Negative Numbers In Sorted Matrix,count-negative-numbers-in-sorted-matrix.py,2025-12-28,2025-12-28,1,,,0,2,238,
2025-12-30,Merge Strings Alternately,"merge-strings-alternately.cpp, merge-strings-alternately.py",2025-12-28,2025-12-28,2,,,0,2,238,
2026-01-01,Maximum Score Of A Split,maximum-score-of-a-split.py,2025-12-30,2025-12-30,1,,,0,2,236,
2026-01-02,Restore Finishing Order,restore-finishing-order.cpp,2025-12-31,2025-12-31,1,,,0,2,235,
2026-01-04,Binary Search,binary-search.cpp,2026-01-02,2026-01-02,1,,,0,2,233,
2026-01-04,N Repeated Element In Size 2n Array,n-repeated-element-in-size-2N-array.cpp,2026-01-02,2026-01-02,1,,,0,2,233,
2026-01-07,Assign Cookies,assign-cookies.py,2026-01-05,2026-01-05,1,,,0,2,230,
2026-01-07,Four Divisors,four-divisors.py,2026-01-05,2026-01-05,1,,,0,2,230,
2026-01-08,Maximum Level Sum Of A Binary Tree,maximum-level-sum-of-a-binary-tree.py,2026-01-06,2026-01-06,1,,,0,2,229,
2026-01-15,Maximum Product Of Splitted Binary Tree,maximum-product-of-splitted-binary-tree.py,2026-01-13,2026-01-13,1,,,0,2,222,
2026-01-15,Minimum Time Visiting All Points,minimum-time-visiting-all-points.py,2026-01-13,2026-01-13,1,,,0,2,222,
2026-01-17,Minimum Cost To Acquire Required Items,minimum-cost-to-acquire-required-items.py,2026-01-15,2026-01-15,1,,,0,2,220,
2026-01-18,Max Dot Product Of Two Subsequences,max-dot-product-of-two-subsequences.py,2026-01-16,2026-01-16,1,,,0,2,219,
2026-01-20,Vowel Consonant Score,vowel-consonant-score.py,2026-01-18,2026-01-18,1,,,0,2,217,
2026-02-04,Reverse Bits,reverse-bits.cpp,2026-02-02,2026-02-02,1,,,0,2,202,
2026-02-09,Range Sum Query,"range-sum-query.cpp, range-sum-query.py",2026-02-07,2026-02-07,1,,,0,2,197,
2026-02-11,Two Sum,two-sum.cpp,2026-02-09,2026-02-09,1,,,0,2,195,
2026-05-01,Largest Rectangle In Histogram,"largest-rectangle-in-histogram.cpp, largest-rectangle-in-histogram.py",2026-04-29,2026-04-29,1,,,0,2,116,
2026-05-03,Last Stone Weight,last-stone-weight.cpp,2026-05-01,2026-05-01,1,,,0,2,114,
2026-05-03,Max Area Of Island,max-area-of-island.cpp,2026-05-01,2026-05-01,1,,,0,2,114,
2026-05-03,Rotting Oranges,rotting-oranges.cpp,2026-05-01,2026-05-01,1,,,0,2,114,
2026-05-03,Surrounded Regions,surrounded-regions.cpp,2026-05-01,2026-05-01,1,,,0,2,114,
